ion,q_label,mean_10_14,std_10_14,std_over_abs_mean_percent,n_points
K,0.2,-32.4534146341,0.3816946152,1.176131,41
K,0.4,-64.6163414634,0.9238697936,1.429777,41
K,0.6,-99.3221951220,0.5499690111,0.553722,41
K,0.8,-136.2807317073,1.2682355522,0.930605,41
K,1,-173.8351219512,1.1761659953,0.676599,41
CL,-0.2,29.8131707317,0.7483948320,2.510283,41
CL,-0.4,65.2095121951,0.5129539095,0.786624,41
CL,-0.6,104.6834146341,0.7024889887,0.671060,41
CL,-0.8,145.3180487805,0.7858108117,0.540752,41
CL,-1,184.9229268293,1.3380386882,0.723566,41
Mg,0.4,-95.3953658537,0.5662805370,0.593614,41
Mg,0.8,-193.9631707317,0.8697166318,0.448393,41
Mg,1.2,-284.9200000000,1.7771009552,0.623719,41
Mg,1.6,-354.3729268293,2.0054088372,0.565904,41
Mg,2,-410.8643902439,2.2901592753,0.557400,41
