K,Q,Pot,Pot_lin,,CL,Q,Pot,Pot_lin,,Mg,Q,Pot,Pot_lin
,0,0,0,,,0,0,0,,,0,0,0
,0.1,-16.29,-17.38,,,-0.1,14.22,18.49,,,0.2,-45.64,-41.09
,0.2,-32.45,-34.77,,,-0.2,29.81,36.98,,,0.4,-95.4,-82.17
,0.3,-48.35,-52.15,,,-0.3,46.91,55.48,,,0.6,-147.3,-123.26
,0.4,-64.62,-69.53,,,-0.4,65.21,73.97,,,0.8,-193.96,-164.35
,0.5,-81.64,-86.92,,,-0.5,84.67,92.46,,,1,-239.19,-205.43
,0.6,-99.32,-104.3,,,-0.6,104.68,110.95,,,1.2,-284.92,-246.52
,0.7,-117.59,-121.68,,,-0.7,125.06,129.45,,,1.4,-322.23,-287.61
,0.8,-136.28,-139.07,,,-0.8,145.32,147.94,,,1.6,-354.37,-328.69
,0.9,-154.96,-156.45,,,-0.9,165.38,166.43,,,1.8,-383.48,-369.78
,1,-173.84,-173.84,,,-1,184.92,184.92,,,2,-410.86,-410.86
